bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,,,
Uilli,1,23,15,8,2359.934853,1336.488108,1336.58973,2361.445783,,,,,,,,,,
Uilli,1,23,15,9,2349.027994,1336.648108,1336.751892,2350.972253,,,,,,,,,,
Uilli,1,23,15,10,2352.490102,1336.812432,1336.905405,2344.257498,,,,,,,,,,
Uilli,1,23,15,11,2352.816343,1336.972432,1337.065405,2355.010973,,,,,,,,,,
Uilli,1,23,15,12,2358.461538,1337.132432,1337.223243,2367.41573,,,,,,,,,,
Uilli,1,23,15,13,2352.974316,1337.277297,1337.398378,2353.651685,,,,,,,,,,
Uilli,1,23,15,14,2356.48855,1337.458919,1337.558378,2352.268065,,,,,,,,,,
Uilli,1,23,15,15,2341.679627,1337.621081,1337.731351,2348.735349,,,,,,,,,,
Uilli,1,23,15,16,2353.699422,1337.796216,1337.902162,2349.860903,,,,,,,,,,
Reginald,0,24,16,1,3212.19317,1441.534827,1442.103476,3214.562565,,,,,,,,,,
Reginald,0,24,16,2,3240.283896,1442.31753,1442.791043,3239.603486,,,,,,,,,,
Uilli,1,24,16,1,1988.958009,1438.14,1438.230811,1993.033708,,,,,,,,,,
Uilli,1,24,16,2,2029.321164,1438.403784,1438.520541,2029.850456,,,,,,,,,,
Uilli,1,24,16,3,2021.183688,1438.652432,1438.773514,2023.314607,,,,,,,,,,
Uilli,1,24,16,4,2008.946213,1438.868649,1438.996216,2006.683256,,,,,,,,,,
Uilli,1,24,16,5,2001.859296,1439.06973,1439.208108,2001.589382,,,,,,,,,,
Uilli,1,24,16,6,2026.135981,1439.275135,1439.409189,2021.498647,,,,,,,,,,
Uilli,1,24,16,7,2001.125896,1439.46973,1439.614595,2001.721709,,,,,,,,,,
Reginald,0,28,17,1,1435.882451,1472.752124,1472.875367,1439.665088,,,,,,,,,,
Reginald,0,28,17,2,1435.882451,1473.119692,1473.253746,1439.665088,,,,,,,,,,
Reginald,0,28,17,3,1504.019488,1473.515367,1473.668881,1498.227474,,,,,,,,,,
Reginald,0,28,17,4,1494.447918,1473.939151,1474.118611,1493.215414,,,,,,,,,,
Reginald,0,28,17,5,1539.84231,1474.274286,1474.479692,1538.315487,,,,,,,,,,
Reginald,0,28,17,6,1552.958932,1474.622394,1474.866719,1551.174014,,,,,,,,,,
Uilli,1,28,17,1,3785.356368,1460.689189,1461.195135,3784.856362,,,,,,,,,,
Uilli,1,28,17,2,3706.864162,1461.502162,1461.975676,3716.885356,,,,,,,,,,
Uilli,1,28,17,3,3677.306968,1462.280541,1462.732432,3677.76607,,,,,,,,,,
Reginald,0,29,18,1,1435.642738,1472.752124,1472.875367,1439.665088,,,,,,,,,,
Reginald,0,29,18,2,1435.642738,1473.119692,1473.253746,1439.665088,,,,,,,,,,
Reginald,0,29,18,3,1498.347107,1473.515367,1473.668881,1498.227474,,,,,,,,,,
Reginald,0,29,18,4,1492.783633,1473.939151,1474.118611,1493.215414,,,,,,,,,,
Reginald,0,29,18,5,1539.180365,1474.274286,1474.479692,1538.315487,,,,,,,,,,
Reginald,0,29,18,6,1554.933333,1474.622394,1474.866719,1551.174014,,,,,,,,,,
Uilli,1,29,18,1,1311.576591,1465.915135,1466.392973,1311.980309,,,,,,,,,,
Uilli,1,29,18,2,1311.576591,1466.663243,1467.087027,1311.980309,,,,,,,,,,
Uilli,1,29,18,3,1342.462272,1467.303243,1467.74,1341.706038,,,,,,,,,,
Uilli,1,29,18,4,1399.636986,1467.941081,1468.386486,1398.681464,,,,,,,,,,
Reginald,0,32,19,1,2717.69838,1480.0278,1480.148881,2715.488034,,,,,,,,,,
Reginald,0,32,19,2,2717.69838,1480.332665,1480.501313,2715.488034,,,,,,,,,,
Reginald,0,32,19,3,2752.598263,1480.650503,1480.836448,2753.225216,,,,,,,,,,
Reginald,0,32,19,4,2744.608696,1480.953205,1481.167259,2723.548729,,,,,,,,,,
Reginald,0,32,19,5,2690.809293,1481.275367,1481.472124,2734.332142,,,,,,,,,,
Reginald,0,32,19,6,2691.470811,1481.584557,1481.7878,2691.064257,,,,,,,,,,
Reginald,0,32,19,7,2681.827957,1481.900232,1482.1078,2683.384313,,,,,,,,,,
Reginald,0,32,19,8,2676.341411,1482.205097,1482.412665,2678.566747,,,,,,,,,,
Reginald,0,32,19,9,2683.580508,1482.53807,1482.730503,2681.230117,,,,,,,,,,
Uilli,1,32,19,1,1301.90583,1465.915135,1466.392973,1311.980309,,,,,,,,,,
Uilli,1,32,19,2,1301.90583,1466.663243,1467.087027,1311.980309,,,,,,,,,,
Uilli,1,32,19,3,1341.315424,1467.303243,1467.74,1341.706038,,,,,,,,,,
Uilli,1,32,19,4,1399.647355,1467.941081,1468.386486,1398.681464,,,,,,,,,,
,,,,,,,,,,,,,Reginald,0,37,20,1,NaN
,,,,,,,,,,,,,Reginald,0,37,20,2,NaN
,,,,,,,,,,,,,Uilli,1,37,20,1,NaN
,,,,,,,,,,,,,Uilli,1,37,20,2,4599.958731
,,,,,,,,,,,,,Uilli,1,37,20,3,4403.364144
,,,,,,,,,,,,,Uilli,1,37,20,4,4502.453951
